,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
410,2023-05-05,601728,6.08,6.04,6.25,5.92,2898668,1926938177.0,5.43,-0.66,-0.04,1.48,6.04
411,2023-05-08,601728,6.01,6.32,6.44,5.96,4670616,3179833119.0,7.95,4.64,0.28,2.38,6.32
412,2023-05-09,601728,6.28,6.08,6.39,6.05,3328305,2252108271.0,5.38,-3.8,-0.24,1.7,6.08
413,2023-05-10,601728,6.08,6.18,6.35,5.98,2878764,1943876196.0,6.09,1.64,0.1,1.47,6.18
414,2023-05-11,601728,6.15,5.98,6.15,5.93,2603321,1710972113.0,3.56,-3.24,-0.2,1.33,5.98
415,2023-05-12,601728,5.98,5.82,6.12,5.81,2341117,1522988784.0,5.18,-2.68,-0.16,1.2,5.82
416,2023-05-15,601728,5.79,5.67,5.81,5.45,4105617,2533647244.0,6.19,-2.58,-0.15,2.1,5.67
417,2023-05-16,601728,5.63,5.54,5.73,5.49,2213182,1365199505.0,4.23,-2.29,-0.13,1.13,5.54
418,2023-05-17,601728,5.48,5.28,5.48,5.17,5343576,3121142824.0,5.6,-4.69,-0.26,2.73,5.28
419,2023-05-18,601728,5.3,5.33,5.41,5.26,2828770,1669839480.0,2.84,0.95,0.05,1.44,5.33
420,2023-05-19,601728,5.27,5.27,5.38,5.18,2198736,1287462842.0,3.75,-1.13,-0.06,1.12,5.27
421,2023-05-22,601728,5.25,5.32,5.39,5.22,1745160,1030426165.0,3.23,0.95,0.05,0.89,5.32
422,2023-05-23,601728,5.31,5.13,5.35,5.12,2420816,1394377853.0,4.32,-3.57,-0.19,1.24,5.13
423,2023-05-24,601728,5.1,5.07,5.17,5.06,1747005,993616404.0,2.14,-1.17,-0.06,0.89,5.07
424,2023-05-25,601728,5.1,5.1,5.14,4.94,2142910,1200781039.0,3.94,0.59,0.03,1.09,5.1
425,2023-05-26,601728,5.09,5.18,5.22,5.01,2581467,1472258546.0,4.12,1.57,0.08,1.32,5.18
426,2023-05-29,601728,5.21,5.24,5.29,5.17,2014453,1169392292.0,2.32,1.16,0.06,1.03,5.24
427,2023-05-30,601728,5.22,5.43,5.44,5.18,2962495,1759429596.0,4.96,3.63,0.19,1.51,5.43
428,2023-05-31,601728,5.4,5.52,5.57,5.36,2234878,1357298034.0,3.87,1.66,0.09,1.14,5.52
429,2023-06-01,601728,5.48,5.61,5.66,5.44,2400159,1474806387.0,3.99,1.63,0.09,1.23,5.61
430,2023-06-02,601728,5.62,5.61,5.69,5.54,1717763,1061646447.0,2.67,0.0,0.0,0.88,5.61
431,2023-06-05,601728,5.58,5.58,5.68,5.56,1748970,1083490889.0,2.14,-0.53,-0.03,0.89,5.58
432,2023-06-06,601728,5.61,5.53,5.67,5.51,1511976,932888883.0,2.87,-0.9,-0.05,0.77,5.53
433,2023-06-07,601728,5.52,5.55,5.59,5.47,1019004,621998384.0,2.17,0.36,0.02,0.52,5.55
434,2023-06-08,601728,5.53,5.6,5.61,5.36,1630500,992613708.0,4.5,0.9,0.05,0.83,5.6
435,2023-06-09,601728,5.6,6.0,6.0,5.55,2540490,1584376474.0,8.04,7.14,0.4,1.3,6.0
436,2023-06-12,601728,5.84,5.79,5.89,5.76,2876512,1810430452.0,2.17,-3.5,-0.21,1.47,5.79
437,2023-06-13,601728,5.76,5.69,5.79,5.59,2238303,1378397791.0,3.45,-1.73,-0.1,1.14,5.69
438,2023-06-14,601728,5.68,5.56,5.69,5.53,2097874,1278257817.0,2.81,-2.28,-0.13,1.07,5.56
439,2023-06-15,601728,5.56,5.5,5.62,5.43,2229481,1336629016.0,3.42,-1.08,-0.06,1.14,5.5
440,2023-06-16,601728,5.49,5.47,5.51,5.43,2361945,1406392759.0,1.45,-0.55,-0.03,1.21,5.47
